Ident,,Filename,Sample Name,Zero Shear viscosity,Relaxation Time,Temperature,Gc,Gpps,Gps,SampleName,Ident,Polydispersity Index
3155-210,,,3155,373,0.001592357,210,,,,,,
3155-230,8,PP3155_230_1-17-22_S1_p2,3155,159.923,7.64E-04,230,0.02898,0.90979,1.55361,3155,3155-230,3.45021
M1-210,17,S1-210-PP-02072022,S1,352.3012,0.00169,210,0.03981,0.89686,1.51713,M1,M1-210,2.51174
M1-230,19,S1_230_Sample1_01212022,S1,221.42957,9.14E-04,230,0.04369,0.93236,1.6153,M1,M1-230,2.28894
M1-250,18,S1-250-PP-02082022,S1,127.18688,7.93E-04,250,0.03738,0.95899,1.70231,M1,M1-250,2.67504
M2-210,20,S2-210-PP-02072022-2,S2,498.01833,0.00224,210,0.03413,0.82188,1.26397,M2,M2-210,2.93002
M2-250,21,S2-250-PP-02082022,S2,132.98133,9.32E-04,250,0.0296,0.92658,1.49253,M2,M2-250,3.37819
M3-210,23,S3-210-S3-03082022,S3,332.524,0.00193,210,0.03041,0.84724,1.27785,M3,M3-210,3.28872
M3-230,26,S3_230_Sample1_01212022,S3,389.5535,0.00208,230,0.03067,0.83557,1.26668,M3,M3-230,3.26081
M3-250,24,S3-250-S10-03082022,S3,202.39125,9.87E-04,250,0.03004,0.88421,1.36154,M3,M3-250,3.32904
M4-210,27,S4-210-PP-02072022,S4,465.4625,0.00255,210,0.0276,0.80201,1.18783,M4,M4-210,3.62339
M4-230,29,S4_Sample1_01212022,S4,396.78833,0.0023,230,0.02586,0.81336,1.22089,M4,M4-230,3.86697
M4-250,28,S4-250-PP-02082022 (1),S4,242.405,0.00108,250,0.02796,0.85029,1.28164,M4,M4-250,3.57709
M5-210,30,S5-210-PP-02072022 (1),S5,315.04317,0.0016,210,0.04169,0.91881,1.58393,M5,M5-210,2.39853
M5-230,32,S5_230_Sample1_01212022,S5,225.40883,0.00103,230,0.04607,0.94584,1.65672,M5,M5-230,2.17084
M5-250,31,S5-250-PP-02082022,S5,145.546,5.67E-04,250,0.05013,0.96589,1.7252,M5,M5-250,1.99487
P1-210,0,3854-210-PP-02072022,3854,355.65129,0.00165,210,0.04607,0.92053,1.61574,P1,P1-210,2.17038
P1-230,10,PP3854_230_Sample1_01212022,3854,247.67687,0.00106,230,0.04893,0.94775,1.70917,P1,P1-230,2.04355
P1-250,9,PP3854-250-PP-02082022,3854,164.216,5.18E-04,250,0.05307,0.96571,1.75975,P1,P1-250,1.88423
P2-210,11,PP3865-210-PP-02072022,3865,240.3848,0.00121,210,0.03473,0.89393,1.45234,P2,P2-210,2.87948
P2-230,12,PP3865_230_sample1_01242022,3865,141.89929,6.51E-04,230,0.03754,0.93457,1.5607,P2,P2-230,2.66372
P2-250,1,3865-250-PP-02082022,3865,115.0008,4.20E-04,250,0.03891,0.94596,1.63352,P2,P2-250,2.57006
P3-210,14,PPCP360H-210-PP-02072022,CP360H,321.75117,0.00158,210,0.03692,0.88284,1.44675,P3,P3-210,2.70857
P3-230,13,PPCP360A_230_sample1_01242022,CP360H,219.69367,0.00105,230,0.03729,0.91463,1.54333,P3,P3-230,2.68186
P3-250,2,CP360H-250-PP-02082022,CP360H,146.2295,8.59E-04,250,0.03435,0.93934,1.63133,P3,P3-250,2.91124
P4-210,3,D115A-210-PP-02072022 (1),D115A,1024.695,0.00567,210,0.02626,0.71695,1.06384,P4,P4-210,3.80812
P4-230,15,PPD115A_230_sample1_01242022,D115A,544.71767,0.00312,230,0.02716,0.79326,1.19911,P4,P4-230,3.6822
P4-250,4,D115A-250-PP-02082022,D115A,355.70867,0.00194,250,0.02734,0.8296,1.25024,P4,P4-250,3.65774
P5-210,5,GPH100-210-PP-02072022,GPH100,133.0188,9.91E-04,210,0.02299,0.89069,1.38218,P5,P5-210,4.34901
P5-230,16,PPGPH100A_230_sample1_01242022,GPH100,100.8192,8.27E-04,230,0.02242,0.90627,1.42065,P5,P5-230,4.45962
P5-250,6,GPH100-250-PP-02082022,GPH100,44.9901,3.93E-04,250,0.02204,0.95736,1.54961,P5,P5-250,4.53719
